id,category,heading,content,source_url
01-基础-001,01-基础,紫微斗数基础,"> 来源：https://iztro.com/learn/basis
> 原文：SylarLong/iztro-docs `learn/basis.md`，仅去掉站点组件（Donate / script / Badge），正文未删改。",https://iztro.com/learn/basis
01-基础-002,01-基础,前言,"紫微斗数是一门研究 `人` 和 `外部环境` 之间关系的学问。本站研究方向可能和传统紫微斗数的学习方向不大一样。如果你以前对紫微斗数已经有一些过学习和研究，本站分享的内容后可能会与你以往学习过的知识产生一些分歧，为了不影响你的知识体系，请谨慎阅读本站所分享的知识。另外，本站所有分享内容均以科普扫盲为主，旨在能让大家了解紫微斗数的运行原理，期望以最简单易懂的方式让大家发现紫微斗数的趣味。如有偏差，欢迎指正。

>*本系列文章为原创文章，转载请标注出处。*

> **提示**
>
> 本站内容以逻辑推理为主，玄学爱好者请酌情阅读。",https://iztro.com/learn/basis
01-基础-003,01-基础,紫微斗数能干嘛？,"很多读者可能都只知道紫微斗数是中国古代一种算命的术数，但其实这个只能说是它的娱乐功能。希望专业从事紫微斗数命理工作的老师不要喷我，我并没有否认紫微斗数的强大。其实很多人都不知道算命的真正含义，只是出于一种对未知的恐惧和不安而想求助一些超自然力量。从本章节开始，笔者将向大家介绍完整的紫微斗数。那到底紫微斗数能做什么呢？

- 性格推演

  每一种命理学/心理学都会对人的个性进行推演，包括很火的MBTI这种很新潮的问答分析模式。人的性格，不是单一而片面的，它是非常多面立体的。一个人面对不同人、不同场合展现出来的性格可能天差地别，这种个性是非常难以通过一个简单的性格分类描述清楚的。而紫微斗数通过十二个 [`宫位`](03-宫位.md) 将一个人的个性全方位的进行分析归类，可以分析出非常细致的性格特征。

  如果在做性格推演的时候发现和真实个性相去甚远，请立刻停止，因为性格推演是第一步，只有性格推演匹配了，后面的才有意义。那么是什么原因造成性格推演的差异呢，笔者总结了以下几个原因：

  1. 出生时间错误

      出生时间是最容易导致出错的情况之一，因为家长有可能记得不准确了，虽然两个小时为一个时辰，但是有些时候出现在时辰交界点的时候（比如3点左右），就又可能出现两个不同的盘，出现这种情况最好把两个盘都看一下，看自己的个性更符合哪个盘。

      除了家长记不清楚的情况，也有时候是在医生记录的时候的误差，比如实际2:54出生，但是医生记录的时候可能会记录到3:05之类的情况。

      还有一种就是历法计算的误差。因为紫微斗数用的是农历，而中国传统纪年方式用的是阴阳合历。所以在不同的纪年方式下会出现时间不是紫微斗数所需要的时间。还有就是农历月份的干支是通过气节的转变而变化的，而气节在交节的时候并不是严格按照子时交节，所以在气节边界的朋友，就算是时间没错也是需要定盘的。

      人为原因导致时辰错位，比如夏令时。以下是大陆地区实行夏令时的时间段，如果你刚好出生在那个时间范围，需要人为的将时间往后调一个小时。当然，有些情况是家长已经帮你调整过了，所以需要确认。中国大陆夏令时信息详情请参考 [`百度百科`](https://baike.baidu.com/item/%E5%A4%8F%E4%BB%A4%E6%97%B6/1809579)

      |中国大陆夏令时执行时间|
      |--|
      |1986年5月4日至9月14日（1986年因是实行夏令时的第一年，从5月4日开始到9月14日结束）|
      |1987年4月12日至9月13日|
      |1988年4月10日至9月11日|
      |1989年4月16日至9月17日|
      |1990年4月15日至9月16日|
      |1991年4月14日至9月15日|

      其他国家或地区的夏令时执行时间请参阅当地官方公布数据。

  2. 解盘者对紫微斗数的掌握水平

      每个人对紫微斗数的掌握情况不一样，所以在分析的时候可能会得出相反的结论，这种情况其实读者在确定自己出生时没有问题的情况下是比较容易发现的。通常面对面解盘时候对你进行察言观色，有引导性言语的可能都是自身水平不足而又不承认的表现。当然笔者的水平也一般，只是笔者在面对分析不到位的情况比较坦然，也希望大家不要因为一次不准确的体验，对紫微斗数失去信心。这也是我将紫微斗数算法和文档开源的原因之一，可以让大众有一定的基础，可以对紫微斗数有一个初步的概念。对于有兴趣的读者，也可以有一定的方法进行深入研究。

  3. 解盘者的表达能力问题

      表达能力和理解能力可能也是造成差异比较大的原因了，一千个人心里有一千个哈姆雷特，每个人对“作者为什么将窗帘写为蓝色”的理解也不一样，所以解盘者表述的准确性和盘主的理解之间也会存在差异。

- 子女教育

  说到这个，很多家长都会觉得自己的小孩自己怎么会不了解。其实不然，你看到的只是小孩其中一面的个性。因为你不可能全天24小时在TA身边，看TA怎么和同学相处、怎么和朋友相处，面对不同角色的人是什么个性，甚至于你在TA心目中是什么样的。而这些，都可以通过小孩的盘可以看出来。说到因材施教，没有什么比这个简单直接的方式了。

- 职业规划

  对于内心有坚定目标的人，可能这没什么作用。但是对于不知道自己适合从事什么类型工作，不知道自己在填报志愿的时候选什么专业的人，还是很有参考意义的。在未来的职业生涯中容易遇到什么情况，是顺境还是逆境，也可以做一个“预报”式的了解，未雨绸缪。

- 社交谈资

  其实和星座还有MBTI一样，紫微斗数也完全具备社交属性，它可以快速破冰，拉近人与人之间的距离，缩短陌生人之间建立关联的时间。如果双方都对紫微斗数有一定了解，这种情况还会更加明显。

- 择偶

  很多人看到择偶，可能会联想到合八字之类的。其实不是的，因为首先不管相亲也好，自由恋爱也好，直接去问别人的生辰都会显得怪怪的。但是如果你对紫微斗数有一定了解，从相处和交谈中可以大概分析出对方的星盘组合，这样也可以给自己如何与对方相处一点参考意义。当然，如果双方都了解紫微斗数，相亲的时候像聊星座一样聊到对方主星，那可方便太多了，这样既不会有问对方生辰的尴尬，又能以最高的效率了解对方的个性和喜好等等。",https://iztro.com/learn/basis
01-基础-004,01-基础,术语解释,在紫微斗数里，有很多“专业术语”，你如果能够对这些术语有一些了解，在听到别人解盘的时候就不会一头雾水了。听多了就可以尝试自己进行解盘，对星盘的研究是一件很有意思的事情，希望大家都能体会到它的乐趣。下面我们一一解释紫微斗数里常用的术语：,https://iztro.com/learn/basis
01-基础-005,01-基础,`性别阴阳`,"在紫微斗数里，会经常听到 `阳男阴女`，`阴男阳女`的说法。这是指出生那年的 `天干` 阴阳属性，加上性别，得出4的种组合：

- 阳男
- 阳女
- 阴男
- 阴女

性别以及性别的阴阳属性会影响某些结果的排列顺序。",https://iztro.com/learn/basis
01-基础-006,01-基础,`顺行`/`逆行`,在紫微斗数里，顺行指的是按 `顺时针` 方向行进；逆行（或者逆部），是指按照 `逆时针` 方向行进。当你听到 `阳男阴女顺行` 的时候就知道是要求你用某个排列按照 `顺时针` 方向排列，而 `阴男阳女逆行(或逆部)` 就是用某个排列按照 `逆时针` 方向排列。,https://iztro.com/learn/basis
01-基础-007,01-基础,`星盘`,"详细的星盘知识请查看 [星盘介绍](02-星盘.md)。

- 排盘

  根据出身日期、时辰及性别将星盘排出来的过程。

- 解盘

  将星盘上的信息解释出来的一个过程。

- 本命盘

  又叫 `天盘`，通过出生日期和时辰计算出来的那张盘，这张盘是固定的。

- 大限盘

  又叫 `地盘`，天盘的十二个宫位每一个宫位会轮流当值，每一个宫位当值 `十年`，其中 `命宫` 是 `第一大限`，后面的大限叫 `第n大限`。

- 流年盘

  又叫 `人盘`，大限是十年轮换一次，流年是 `每年` 轮换一次。当年的 `地支` 所在的宫位就是流年命宫的位置。

- 天地人三才

  是 `本命盘`、`大限盘`、`流年盘` 的统称。

- 格局

  某些 `星曜` 组合在一起，会形成某种 `格局`，而格局的出现，就类似于游戏里面的装备具有 `套装属性` 一样，会对某些属性有影响。",https://iztro.com/learn/basis
01-基础-008,01-基础,`宫位`,"宫位的基本知识会在 [宫位系统](03-宫位.md) 里面会详细介绍。

- 宫干

  指宫位的 `天干` 。

- 本宫

  指目标宫位，比如查看 `夫妻宫`，那夫妻宫就叫 `本宫`。

- 对宫

  目标宫位对角线上的宫位，又叫 `四正位`。

- 三合位

  又叫 `三才方`、`三方`，是指 `本宫` 和本宫的序号 `加减4` 所在的两个位置。

- 四正位

  又叫 `对宫`，是 `本宫` 序号 `加6` 所在的位置。

- 三方四正

  `三合位` 加 `四正位` 的统称。

- 天罗、地网

  指 `辰`、`戌` 两个宫位，其中 `辰` 是天罗位，`戌` 是地网位。天罗地网的概念取自于周易，其中辰是天罡，戌是河魁。而 `天罡` 和 `河魁` 又是大六壬中的十二神将。这些概念大家不需要去记忆，如果有兴趣的读者可以自行去深入了解。

- 空宫

  指目标宫位内没有 [主星](05-主星.md)

- 夹宫

  指目标宫位前后两个宫位。

- 天门、地门

  这些概念来自于风水学。

  天门指 `亥宫`，以后天八卦来看，天门坐落于乾卦位。以地支来看，天门坐落于 `戌` `亥` 位，戌宫已经有 `地网位` 的意义了，所以天门就落到了 `亥宫` 上。紫微斗数中有个有名的格局叫 `月朗天门` 格，指的就是命宫或者身宫有 `太阴星` 在亥宫。

  地门指 `巳宫`，是风水学中的 `地户位`，而地户就是 `入地之门`。在地支上，地门坐落于 `辰` `巳` 位，辰宫已经有 `天罗位` 的意义了，所以地门就落到了 `巳宫` 上。

- 雷门

  指 `卯宫`，因为卯宫位置在八卦的 `震` 位，所以叫 `雷门`。紫微斗数有个有名的格局叫 `日照雷门` 格，指 `太阳星` 和 `天梁星` 同宫在卯宫。

- 天宫、地宫

  天宫指 `子宫`，地宫指 `丑宫`。“天开于子，地辟于丑，人生于寅”，这个概念在来因宫里面会涉及到，所以在此介绍。`天宫`、`地宫` 的概念常和上面提到的 `天门` `地门` 混淆，两者来自于不同的地方，但都有其道理，只是取名的时候一不小心变量重名了。大家知道这个概念就行了。",https://iztro.com/learn/basis
01-基础-009,01-基础,`星曜`,"紫微斗数里宫位中的重要组成部分，详细介绍可以查看 [星曜系统](04-星曜系统.md)。

- 流耀

  根据 `大限` 和 `流年` 而变化的星曜。

- 遇、加、逢、同宫、同度

  指星曜在同一个宫位里面，比如说 `紫微星` 与 `右弼星` 同度，指这两颗星在同一个宫位里面。

- 会、照、冲、扶拱

  `会` 和 `扶拱` 是指星曜在目标宫位 `三方位` 里，`照` 和 `冲` 是指星曜出现在 `四正位`，通常在解盘的时候会听到 “与某某星会照”，就说明这颗星只要出现在 `三方四正` 里面就算。

- 坐、锯、守

  指星曜在某个宫位内。比如 `贪狼` 坐 `夫妻宫`，指的是贪狼星在夫妻宫里面。

- 空星、空耀

  指 `地空`、`天空`、`旬空`、`空亡`

- 暗耀

  指 [`巨门星`](05-主星.md#巨门星)

- 英星

  指 [`破军星`](05-主星.md#破军星)

- 将星

  指 [`七杀星`](05-主星.md#七杀星)",https://iztro.com/learn/basis
01-基础-010,01-基础,阴阳五行,"在中国的道家思想里，`阴阳` 和 `五行` 是基础中的基础，这里我们不做展开，只是让大家有这个概念就好。

- 阴阳
  
  道家的一生二，生出来的就是阴阳，它代表事物的两面，比如 
  
  - `光` 是 `阳`，`影` 就是 `阴`；
  - `雄` 是 `阳`，`雌` 就是 `阴`；
  - `正电荷` 是 `阳`，`负电荷` 就是 `阴`。
   
  所以，阴阳是一个相对的概念，它代表了万事万物相辅相成，福祸相依，我们要找的，就是阴阳之间的平衡，避免过犹不及的情况产生。`阳` 会给人一种比较强硬和热烈的感觉，而 `阴` 给人的感觉通常是比较柔和和内敛的感觉。

- 五行

  对于 `元素` 的概念，每个文化都有自己的诠释，比如古希腊的 `土`、`风`、`水`、`火` 四元素

  <img src=""https://raw.githubusercontent.com/SylarLong/iztro-docs/main/4elements.webp"" alt=""four elements"" width=""300"" />

  古印度的 `五元素`，比古希腊的多了一个 `空`，所以古印度的五元素分别是 `土`、`风`、`水`、`火`、`空`

  <img src=""https://raw.githubusercontent.com/SylarLong/iztro-docs/main/5elements-1.webp"" alt=""five elements"" width=""300"" />

  在中国的 `五行` 和其他学说的有相同的元素，也有不同的地方，中国的 `五行` 分别是 `水`、`木`、`金`、`土`、`火`，大家可能觉得金木水火土念起来比较顺口，这里主要是为了对应紫微斗数里的 [五行局](#五行局)。

  <img src=""https://raw.githubusercontent.com/SylarLong/iztro-docs/main/5elements-2.webp"" alt=""five elements"" width=""300"" />",https://iztro.com/learn/basis
